Ranking,Country,Region,Happiness_Score,GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption,Year,GDP_Growth,Inflation,Unemployment
157,Burundi,Sub-Saharan Africa,2.905,0.09053,0.29658,47,0.17693,0.24786,0.81769,2015,-2.63843207790325,5.99154257354965,1.449
158,Togo,Sub-Saharan Africa,2.839,1.23446,0.0998,49,0.54429,0.20959,0.80556,2015,2.84283067512166,2.2027014975329,2.204
111,Sierra Leone,Sub-Saharan Africa,4.635,9.44368,0.53074,44,0.50429,0.29153,0.16223,2016,3.96056326178993,4.34616383662868,4.182
144,Chad,Sub-Saharan Africa,3.763,9.42133,0.53393,46,0.21048,0.22772,0.09803,2016,-7.0850619018951,-6.46430757374341,1.091
141,Angola,Sub-Saharan Africa,3.866,9.9228,0.56087,46,0.00967,0.14726,0.16694,2016,-5.15402904669538,20.8727031796989,16.572
103,Nigeria,Sub-Saharan Africa,4.875,9.70016,0.54509,46,0.45776,0.28325,0.06037,2016,-4.01892534268501,9.54367006412453,4.499
114,Cameroon,Sub-Saharan Africa,4.513,9.62138,0.52856,49,0.70234,0.27668,0.12126,2016,1.45711722669677,0.661808977155886,3.529
157,Burundi,Sub-Saharan Africa,2.905,7.36575,0.19812,51,0.071,0.24753,0.18643,2016,1.43842311150118,6.33813181746585,1.352
131,Zimbabwe,Sub-Saharan Africa,4.193,9.51646,0.60408,51,0.41791,0.22573,0.16986,2016,-0.633234613329265,2.16179137419846,5.896
135,Mali,Sub-Saharan Africa,4.073,9.73172,0.72962,51,0.45267,0.25697,0.27012,2016,2.70047363998611,1.60005889699406,1.367
154,Afghanistan,South Asia,3.36,9.63815,0.09327,51,0.27002,0.38145,0.14077,2016,-0.300121027406746,-2.19752646733461,10.116
116,South Africa,Sub-Saharan Africa,4.459,9.95684,0.81177,52,0.69817,0.1666,0.16657,2016,-0.277781475736276,6.9521719608848,26.536
151,Guinea,Sub-Saharan Africa,3.607,8.49819,0.26275,52,0.50869,0.36493,0.23595,2016,8.01216245351651,5.66895163278967,4.997
146,Uganda,Sub-Saharan Africa,3.739,9.8876,0.7689,52,0.71741,0.33063,0.12751,2016,1.35743312909598,4.78100029080551,3.002
153,Benin,Sub-Saharan Africa,3.484,9.21448,0.08805,53,0.65321,0.24619,0.13223,2016,0.361166139903119,0.683591111274652,1.834
